>addHLParsedLex,ParsedLex *
>add_partial_path,Path *
>add_path,Path *
>avlFree,avl_node *
>bms_add_members,Bitmapset *
>bms_del_member,Bitmapset *
>bms_del_members,Bitmapset *
>bms_int_members,Bitmapset *
>bms_replace_members,Bitmapset *
>bool_substitute_hook,char *
>_bt_insertonpg,IndexTuple
>CatCacheRemoveCTup,CatCTup *
>clean_NOT_intree,NODE *
>clean_stopword_intree,NODE *
>createNewConnection,remoteConn *
>dblink_security_check,remoteConn *
>deallocate_one,struct prepared_statement *
>dofindsubquery,QTNode *
>dump_variables,struct arguments *
>ecpg_finish,struct connection *
>ExecForceStoreHeapTuple,HeapTuple
>ExecForceStoreMinimalTuple,MinimalTuple
>freeGinBtreeStack,GinBtreeStack *
>freeJsonLexContext,JsonLexContext *
>free_variable,struct variable *
>ginFinishSplit,GinBtreeStack *
>HandleEndOfCopyStream,char *
>insert_tobeinserted,char *
>json_manifest_scalar,char *
>list_free_private,List *
>merge_clump,Clump *
>pagetable_free,void *
>ParallelBackupEnd,ParallelState *
>PQclear,PGresult *
>quote_postgres,char *
>recursive_revoke,Acl *
>ReorderBufferFreeSnap,Snapshot
>SSLerrfree,char *
