>array_free_iterator,ArrayIterator
>bbstreamer_gzip_decompressor_free,bbstreamer *
>bbstreamer_lz4_compressor_free,bbstreamer *
>bbstreamer_lz4_decompressor_free,bbstreamer *
>bbstreamer_recovery_injector_free,bbstreamer *
>bbstreamer_tar_archiver_free,bbstreamer *
>bbstreamer_tar_terminator_free,bbstreamer *
>bbstreamer_zstd_compressor_free,bbstreamer *
>bbstreamer_zstd_decompressor_free,bbstreamer *
>binaryheap_free,binaryheap *
>BipartiteMatchFree,BipartiteMatchState *
>BlockRefTableFreeEntry,BlockRefTableEntry *
>bloom_free,bloom_filter *
>bms_copy_and_free,Bitmapset *
>bms_free,Bitmapset *
>bool_substitute_hook,char *
>brin_free_tuple,BrinTuple *
>brinRevmapTerminate,BrinRevmap *
>_bt_spooldestroy,BTSpool *
>BufFileClose,BufFile *
>buf_finalize,StringInfo
>BumpDelete,MemoryContext
>CatalogCloseIndexes,CatalogIndexState
>clean_NOT_intree,NODE *
>clear_and_pfree,text *
>ClearOrSaveResult,PGresult *
>closedir,DIR *
>close_tsvector_parser,TSVectorParseState
>combo_free,PX_Combo *
>conditional_stack_destroy,ConditionalStack
>copy_dest_destroy,DestReceiver *
>DeCloneArchive,ArchiveHandle *
>DecrTupleDescRefCount,TupleDesc
>DependencyGenerator_free,DependencyGenerator
>descriptor_deallocate_all,struct descriptor *
>descriptor_destructor,void *
>descriptor_free,struct descriptor *
>DestroyBlockRefTableReader,BlockRefTableReader *
>DestroyBlockRefTableWriter,BlockRefTableWriter *
>DestroyParallelContext,ParallelContext *
>destroyPQExpBuffer,PQExpBuffer
>destroyStringInfo,StringInfo
>DestroyTupleQueueReader,TupleQueueReader *
>digest_free,PX_MD *
>dir_free,WalWriteMethod *
>disconnectDatabase,PGconn *
>dsa_detach,dsa_area *
>dshash_destroy,dshash_table *
>dshash_detach,dshash_table *
>dsm_detach,dsm_segment *
>dumpRoleGUCPrivs,PGconn *
>dumpRoleMembership,PGconn *
>dumpTablespaces,PGconn *
>ecpg_do_epilogue,struct statement *
>ecpg_finish,struct connection *
>ECPGfree_type,struct ECPGtype *
>ecpg_free,void *
>ecpg_sqlca_key_destructor,void *
>EndCompressFileHandle,CompressFileHandle *
>EndCopy,CopyToState
>EndCopyFrom,CopyFromState
>EndCopyTo,CopyToState
>end_tup_output,TupOutputState *
>ExecDropSingleTupleTableSlot,TupleTableSlot *
>ExecHashTableDestroy,HashJoinTable
>ExecParallelCleanup,ParallelExecutorInfo *
>exit_nicely,PGconn *
>finish_edata,ApplyExecutionData *
>FreeAccessStrategy,BufferAccessStrategy
>freeAndGetParent,JsonbIterator *
>free_attrmap,AttrMap *
>FreeBulkInsertState,BulkInsertState
>free_child_join_sjinfo,SpecialJoinInfo *
>free_command,Command *
>FreeConfigVariable,ConfigVariable *
>free_conversion_map,TupleConversionMap *
>free_copy_options,struct copy_options *
>FreeDir,DIR *
>FreeErrorData,ErrorData *
>FreeFakeRelcacheEntry,Relation
>freeGinBtreeStack,GinBtreeStack *
>freeJsonLexContext,JsonLexContext *
>free_keep_errno,void *
>free_object_addresses,ObjectAddresses *
>free_openssl_cipher,OSSLCipher *
>free_openssl_digest,OSSLDigest *
>free_parsestate,ParseState *
>freePGconn,PGconn *
>FreeQueryDesc,QueryDesc *
>free_readfile,char * *
>FreeSnapshot,Snapshot
>free_socket_set,socket_set *
>free_statement,struct statement *
>FreeSubscription,Subscription *
>freetree,NODE *
>FreeTriggerDesc,TriggerDesc *
>FreeTupleDesc,TupleDesc
>free_variable,struct variable *
>FreeWaitEventSetAfterFork,WaitEventSet *
>FreeWaitEventSet,WaitEventSet *
>GenerationDelete,MemoryContext
>generator_free,CombinationGenerator *
>GenericXLogAbort,GenericXLogState *
>GenericXLogFinish,GenericXLogState *
>gen_ossl_free,PX_Cipher *
>guc_free,void *
>heap_free_minimal_tuple,MinimalTuple
>heap_freetuple,HeapTuple
>hmac_free,PX_HMAC *
>_h_spooldestroy,HSpool *
>index_endscan,IndexScanDesc
>IndexScanEnd,IndexScanDesc
>init_spawned_worker_win32,WorkerInfo *
>intorel_destroy,DestReceiver *
>inv_close,LargeObjectDesc *
>jit_release_context,JitContext *
>json_parse_manifest_incremental_shutdown,JsonManifestParseIncrementalState *
>jsonpath_yyfree,void *
>libpqrcv_disconnect,WalReceiverConn *
>local_destroy,rewind_source *
>LogicalTapeClose,LogicalTape *
>LogicalTapeSetClose,LogicalTapeSet *
>lrq_free,LsnReadQueue *
>mbuf_free,MBuf *
>output_deallocate_prepare_statement,char *
>pa_free_worker_info,ParallelApplyWorkerInfo *
>pa_free_worker,ParallelApplyWorkerInfo *
>pairingheap_free,pairingheap *
>pfree,void *
>pgfnames_cleanup,char * *
>pg_free,void *
>pgp_cfb_free,PGP_CFB *
>pgp_free,PGP_Context *
>pgp_key_free,PGP_PubKey *
>pgp_mpi_free,PGP_MPI *
>PGTYPESchar_free,char *
>PGTYPESdate_free,date *
>PGTYPESdecimal_free,decimal *
>PGTYPESinterval_free,interval *
>PGTYPESnumeric_free,numeric *
>pg_tzenumerate_end,pg_tzenum *
>PLy_function_drop_args,PLySavedArgs *
>PQclear,PGresult *
>PQconninfoFree,PQconninfoOption *
>PQfinish,PGconn *
>PQfreeCancel,PGcancel *
>PQfreemem,void *
>PQfreeNotify,PGnotify *
>printtup_destroy,DestReceiver *
>psql_scan_destroy,PsqlScanState
>pullf_free,PullFilter *
>pushf_free_all,PushFilter *
>pushf_free,PushFilter *
>QTNFree,QTNode *
>read_stream_end,ReadStream *
>ReleaseDummy,HeapTuple
>ReorderBufferReturnTupleBuf,HeapTuple
>ResourceOwnerDelete,ResourceOwner
>serializeAnalyzeDestroy,DestReceiver *
>shm_mq_detach,shm_mq_handle *
>SlabDelete,MemoryContext
>SnapBuildFreeSnapshot,Snapshot
>SnapBuildSnapDecRefcount,Snapshot
