>binaryheap_free,binaryheap *
>freeJsonLexContext,JsonLexContext *
>destroyStringInfo,StringInfo
>json_parse_manifest_incremental_shutdown,JsonManifestParseIncrementalState *
>pgfnames_cleanup,char * *
>BlockRefTableFreeEntry,BlockRefTableEntry *
>DestroyBlockRefTableReader,BlockRefTableReader *
>DestroyBlockRefTableWriter,BlockRefTableWriter *
>EndCopy,CopyToState
>copy_dest_destroy,DestReceiver *
>transientrel_destroy,DestReceiver *
>EndCopyFrom,CopyFromState
>intorel_destroy,DestReceiver *
>FreeTriggerDesc,TriggerDesc *
>serializeAnalyzeDestroy,DestReceiver *
>FreeQueryDesc,QueryDesc *
>free_parsestate,ParseState *
>FreeSubscription,Subscription *
>free_object_addresses,ObjectAddresses *
>CatalogCloseIndexes,CatalogIndexState
>freeGinBtreeStack,GinBtreeStack *
>brinRevmapTerminate,BrinRevmap *
>brin_free_tuple,BrinTuple *
>terminate_brin_buildstate,BrinBuildState *
>heap_free_minimal_tuple,MinimalTuple
>heap_freetuple,HeapTuple
>TidStoreDestroy,TidStore *
>TidStoreDetach,TidStore *
>TidStoreEndIterate,TidStoreIter *
>free_conversion_map,TupleConversionMap *
>FreeTupleDesc,TupleDesc
>free_attrmap,AttrMap *
>printtup_destroy,DestReceiver *
>IndexScanEnd,IndexScanDesc
>systable_endscan,SysScanDesc
>systable_endscan_ordered,SysScanDesc
>_h_spooldestroy,HSpool *
>_bt_spooldestroy,BTSpool *
>FreeBulkInsertState,BulkInsertState
>XLogReaderFree,XLogReaderState *
>XLogPrefetcherFree,XLogPrefetcher *
>lrq_free,LsnReadQueue *
>GenericXLogAbort,GenericXLogState *
>GenericXLogFinish,GenericXLogState *
>DestroyParallelContext,ParallelContext *
>FreeFakeRelcacheEntry,Relation
>jit_release_context,JitContext *
>pairingheap_free,pairingheap *
>dshash_destroy,dshash_table *
>dshash_detach,dshash_table *
>bloom_free,bloom_filter *
>BipartiteMatchFree,BipartiteMatchState *
>free_child_join_sjinfo,SpecialJoinInfo *
>TParserClose,TParser *
>TParserCopyClose,TParser *
>FreeErrorData,ErrorData *
>dsa_detach,dsa_area *
>LogicalTapeClose,LogicalTape *
>LogicalTapeSetClose,LogicalTapeSet *
>tuplestore_end,Tuplestorestate *
>FreeConfigVariable,ConfigVariable *
>guc_free,void *
>FreeSnapshot,Snapshot
>QTNFree,QTNode *
>ReleaseDummy,HeapTuple
>freeAndGetParent,JsonbIterator *
>array_free_iterator,ArrayIterator
>string_to_text,char *
>close_tsvector_parser,TSVectorParseState
>clean_NOT_intree,NODE *
>freetree,NODE *
>buf_finalize,StringInfo
>xml_pfree,void *
>jsonpath_yyfree,void *
>ResourceOwnerDelete,ResourceOwner
>generator_free,CombinationGenerator *
>DependencyGenerator_free,DependencyGenerator
>tbm_end_iterate,TBMIterator *
>tbm_end_shared_iterate,TBMSharedIterator *
>tbm_free,TIDBitmap *
>bms_free,Bitmapset *
>BufFileClose,BufFile *
>read_stream_end,ReadStream *
>FreeWaitEventSet,WaitEventSet *
>FreeWaitEventSetAfterFork,WaitEventSet *
>dsm_detach,dsm_segment *
>shm_mq_detach,shm_mq_handle *
>FreeAccessStrategy,BufferAccessStrategy
>inv_close,LargeObjectDesc *
>finish_edata,ApplyExecutionData *
>ReorderBufferReturnTupleBuf,HeapTuple
>SnapBuildFreeSnapshot,Snapshot
>pa_free_worker_info,ParallelApplyWorkerInfo *
>libpqrcv_disconnect,WalReceiverConn *
>ExecParallelCleanup,ParallelExecutorInfo *
>sqlfunction_destroy,DestReceiver *
>SPI_pfree,void *
>DestroyTupleQueueReader,TupleQueueReader *
>tqueueDestroyReceiver,DestReceiver *
>ExecDropSingleTupleTableSlot,TupleTableSlot *
>end_tup_output,TupOutputState *
>tstoreDestroyReceiver,DestReceiver *
>ExecHashTableDestroy,HashJoinTable
>descriptor_deallocate_all,struct descriptor *
>ecpg_do_epilogue,struct statement *
>disconnectDatabase,PGconn *
>pg_tzenumerate_end,pg_tzenum *
>PLy_function_drop_args,PLySavedArgs *
>exit_nicely,PGconn *
>dumpRoleGUCPrivs,PGconn *
>dumpRoleMembership,PGconn *
>dumpTablespaces,PGconn *
>bbstreamer_recovery_injector_free,bbstreamer *
>bbstreamer_zstd_compressor_free,bbstreamer *
>bbstreamer_zstd_decompressor_free,bbstreamer *
>bbstreamer_gzip_decompressor_free,bbstreamer *
>bbstreamer_tar_archiver_free,bbstreamer *
>bbstreamer_tar_terminator_free,bbstreamer *
>bbstreamer_lz4_compressor_free,bbstreamer *
>bbstreamer_lz4_decompressor_free,bbstreamer *
>local_destroy,rewind_source *
>hmac_free,PX_HMAC *
>clear_and_pfree,text *
>pgp_key_free,PGP_PubKey *
>mbuf_free,MBuf *
>pullf_free,PullFilter *
>pushf_free,PushFilter *
>digest_free,PX_MD *
>free_openssl_cipher,OSSLCipher *
>free_openssl_digest,OSSLDigest *
>gen_ossl_free,PX_Cipher *
>pgp_mpi_free,PGP_MPI *
>combo_free,PX_Combo *
>pgp_free,PGP_Context *
>pgp_cfb_free,PGP_CFB *
