>init_spawned_worker_win32,WorkerInfo *
>DeCloneArchive,ArchiveHandle *
>free_keep_errno,void *
>restore_global_locale,save_locale_t
>writefile,char * *
>restorePsetInfo,printQueryOpt *
>free_copy_options,struct copy_options *
>free_readfile,char * *
>closedir,DIR *
>GenerationBlockFree,GenerationBlock *
>GenerationDelete,MemoryContext
>BumpBlockFree,BumpBlock *
>BumpDelete,MemoryContext
>SlabDelete,MemoryContext
>SN_close_env,struct SN_env *
>pg_free,void *
>conditional_stack_destroy,ConditionalStack
>psql_scan_destroy,PsqlScanState
>output_deallocate_prepare_statement,char *
>output_prepare_statement,char *
>output_simple_statement,char *
>output_statement,char *
>ECPGfree_type,struct ECPGtype *
>cat2_str,char *
>cat2_str,char *
>make2_str,char *
>make2_str,char *
>make3_str,char *
>make3_str,char *
>make3_str,char *
>PGTYPESchar_free,char *
>PGTYPESinterval_free,interval *
>PGTYPESdate_free,date *
>PGTYPESdecimal_free,decimal *
>PGTYPESnumeric_free,numeric *
>ecpg_sqlca_key_destructor,void *
>ecpg_free,void *
>PQfreemem,void *
>freePGconn,PGconn *
>PQconninfoFree,PQconninfoOption *
>destroyPQExpBuffer,PQExpBuffer
>PQfreeCancel,PGcancel *
>EndCompressFileHandle,CompressFileHandle *
>EndCompressor,CompressorState *
>make_func,PgBenchExprList *
>free_command,Command *
>free_socket_set,socket_set *
>free_socket_set,socket_set *
>dir_free,WalWriteMethod *
>tar_free,WalWriteMethod *
>pfree,void *
>descriptor_free,struct descriptor *
>free_statement,struct statement *
>PQfreeNotify,PGnotify *
>local_destroy,rewind_source *
>XLogReaderFree,XLogReaderState *
>XLogReaderFree,XLogReaderState *
>XLogReaderFree,XLogReaderState *
>bbstreamer_lz4_compressor_free,bbstreamer *
>bbstreamer_lz4_decompressor_free,bbstreamer *
>bbstreamer_zstd_compressor_free,bbstreamer *
>bbstreamer_zstd_decompressor_free,bbstreamer *
>bbstreamer_tar_archiver_free,bbstreamer *
>bbstreamer_tar_terminator_free,bbstreamer *
>bbstreamer_gzip_decompressor_free,bbstreamer *
>gzip_pfree,void *
>gzip_pfree,void *
>bbstreamer_recovery_injector_free,bbstreamer *
>PLy_function_drop_args,PLySavedArgs *
>PLy_function_restore_args,PLySavedArgs *
>CatCacheRemoveCList,CatCList *
>RelationDestroyRelation,Relation
>LogicalTapeClose,LogicalTape *
>LogicalTapeSetClose,LogicalTapeSet *
>tuplestore_end,Tuplestorestate *
>FreeErrorData,ErrorData *
>array_free_iterator,ArrayIterator
>buf_finalize,StringInfo
>string_to_text,char *
>close_tsvector_parser,TSVectorParseState
>freeAndGetParent,JsonbIterator *
>plainnode,NODE *
>freetree,NODE *
>QTNFree,QTNode *
>jsonpath_yyfree,void *
>ReleaseDummy,HeapTuple
>pg_xml_done,PgXmlErrorContext *
>xml_pfree,void *
>FreeSnapshot,Snapshot
>ResourceOwnerDelete,ResourceOwner
>guc_free,void *
>FreeConfigVariable,ConfigVariable *
>PortalDrop,Portal
>dsa_detach,dsa_area *
>pgstat_release_entry_ref,PgStat_EntryRef *
>tbm_end_iterate,TBMIterator *
>tbm_end_shared_iterate,TBMSharedIterator *
>tbm_free,TIDBitmap *
>bms_free,Bitmapset *
>jit_release_context,JitContext *
>transientrel_destroy,DestReceiver *
>vac_close_indexes,Relation *
>serializeAnalyzeDestroy,DestReceiver *
>intorel_destroy,DestReceiver *
>FreeTriggerDesc,TriggerDesc *
>EndCopy,CopyToState
>copy_dest_destroy,DestReceiver *
>parallel_vacuum_end,ParallelVacuumState *
>CopyMultiInsertBufferCleanup,CopyMultiInsertBuffer *
>EndCopyFrom,CopyFromState
>finish_edata,ApplyExecutionData *
>ReorderBufferIterTXNFinish,ReorderBufferIterTXNState *
>ReorderBufferReturnChange,ReorderBufferChange *
>ReorderBufferReturnRelids,Oid *
>ReorderBufferReturnTXN,ReorderBufferTXN *
>ReorderBufferReturnTupleBuf,HeapTuple
>pa_free_worker_info,ParallelApplyWorkerInfo *
>SnapBuildFreeSnapshot,Snapshot
