>addHLParsedLex,TSLexeme *
>array_free_iterator,ArrayIterator
>bbstreamer_gzip_decompressor_free,bbstreamer *
>bbstreamer_lz4_compressor_free,bbstreamer *
>bbstreamer_lz4_decompressor_free,bbstreamer *
>bbstreamer_recovery_injector_free,bbstreamer *
>bbstreamer_tar_archiver_free,bbstreamer *
>bbstreamer_tar_terminator_free,bbstreamer *
>bbstreamer_zstd_compressor_free,bbstreamer *
>bbstreamer_zstd_decompressor_free,bbstreamer *
>binaryheap_free,binaryheap *
>BipartiteMatchFree,BipartiteMatchState *
>BlockRefTableFreeEntry,BlockRefTableEntry *
>bloom_free,bloom_filter *
>bms_free,Bitmapset *
>brin_free_tuple,BrinTuple *
>brinRevmapTerminate,BrinRevmap *
>_bt_spooldestroy,BTSpool *
>BufFileClose,BufFile *
>buf_finalize,StringInfo
>BumpBlockFree,BumpBlock *
>BumpDelete,MemoryContext
>cat2_str,char *
>CatalogCloseIndexes,CatalogIndexState
>CatCacheRemoveCList,CatCList *
>clear_and_pfree,text *
>closedir,DIR *
>close_tsvector_parser,TSVectorParseState
>combo_free,PX_Combo *
>conditional_stack_destroy,ConditionalStack
>copy_dest_destroy,DestReceiver *
>CopyMultiInsertBufferCleanup,CopyMultiInsertBuffer *
>core_yyfree,void *
>DeCloneArchive,ArchiveHandle *
>DependencyGenerator_free,DependencyGenerator
>descriptor_free,struct descriptor *
>DestroyBlockRefTableReader,BlockRefTableReader *
>DestroyBlockRefTableWriter,BlockRefTableWriter *
>DestroyParallelContext,ParallelContext *
>destroyPQExpBuffer,PQExpBuffer
>destroyStringInfo,StringInfo
>DestroyTupleQueueReader,TupleQueueReader *
>digest_free,PX_MD *
>dir_free,WalWriteMethod *
>dsa_detach,dsa_area *
>dshash_destroy,dshash_table *
>dshash_detach,dshash_table *
>dsm_detach,dsm_segment *
>ECPGfree_type,struct ECPGtype *
>ecpg_free,void *
>ecpg_sqlca_key_destructor,void *
>emit_audit_message,char *
>EndCompressFileHandle,CompressFileHandle *
>EndCompressor,CompressorState *
>EndCopy,CopyToState
>EndCopyFrom,CopyFromState
>end_tup_output,TupOutputState *
>ExecDropSingleTupleTableSlot,TupleTableSlot *
>ExecHashTableDestroy,HashJoinTable
>ExecParallelCleanup,ParallelExecutorInfo *
>finish_edata,ApplyExecutionData *
