>init_spawned_worker_win32,WorkerInfo *
>DeCloneArchive,ArchiveHandle *
>free_keep_errno,void *
>restore_global_locale,save_locale_t
>writefile,char * *
>restorePsetInfo,printQueryOpt *
>closedir,DIR *
>GenerationBlockFree,GenerationBlock *
>GenerationDelete,MemoryContext
>BumpBlockFree,BumpBlock *
>BumpDelete,MemoryContext
>SlabDelete,MemoryContext
>pg_free,void *
>conditional_stack_destroy,ConditionalStack
>psql_scan_destroy,PsqlScanState
>output_deallocate_prepare_statement,char *
>output_prepare_statement,char *
>output_simple_statement,char *
>output_statement,char *
>ECPGfree_type,struct ECPGtype *
>cat2_str,char *
>make2_str,char *
>make3_str,char *
>PGTYPESchar_free,char *
>PGTYPESinterval_free,interval *
>PGTYPESdate_free,date *
>PGTYPESdecimal_free,decimal *
>PGTYPESnumeric_free,numeric *
>ecpg_sqlca_key_destructor,void *
>ecpg_free,void *
>PQfreemem,void *
>freePGconn,PGconn *
>PQfreeCancel,PGcancel *
